Title,Rating,Votes,Duration,Genre
311. The Redemption of Sin,5.8, (203),1h 56m,Horror
312. Monster Awakens,5.1, (475),1h 14m,Horror
313. Nearing Death,5.7, (342),1h 36m,Horror
314. Silent Bite,3.7, (507),1h 30m,Horror
315. H. P. Lovecraft's the Old Ones,3.6, (390),1h 24m,Horror
316. All Hallows' Eve: Inferno,4.2, (130),1h 14m,Horror
317. Director's Cut,7.5, (99),1h 30m,Horror
318. Cadi,6.3, (4.4K),2h 14m,Horror
319. Traumatika,5.8, (60),1h 27m,Horror
320. Hide and Seek,4.9, (137),1h 24m,Horror
321. The Hunted,5.1, (373),1h 34m,Horror
322. The Devil's Disciples,9.0, (40),1h 22m,Horror
323. American Werewolf,3.0, (115),1h 7m,Horror
324. Down Below,2.7, (187),1h 33m,Horror
325. The Girl Who Wore Yellow Lace,4.5, (22),1h 22m,Horror
326. The Containment,6.2, (12),,Horror
327. From Darkness,5.0, (559),1h 35m,Horror
328. A Mother's Embrace,5.8, (590),1h 30m,Horror
329. Skeletons in the Closet,3.0, (570),1h 32m,Horror
330. Cursed,4.2, (139),1h 21m,Horror
331. Members Club,4.6, (159),1h 30m,Horror
332. Ketchup on Waffles,,,1h 21m,Horror
333. H.P. Lovecraft's the Shadow Over Innsmouth,7.9, (13),,Horror
334. Exorcism Chronicles: The Beginning,6.5, (110),1h 25m,Horror
335. Quadrant,4.3, (142),1h 13m,Horror
336. Witch,4.9, (1.4K),1h 47m,Horror
337. Bloody Ishq,2.9, (2.2K),2h 18m,Horror
338. Last Stop: Rocafort St.,4.1, (473),1h 29m,Horror
339. Crust,6.0, (237),1h 42m,Horror
340. Mummy Shark,2.0, (179),1h 6m,Horror
341. Kang Mak,6.4, (834),2h 2m,Horror
342. The McKinney Family Home Videos,5.3, (29),1h 8m,Horror
343. Texas Cult House,7.9, (26),,Horror
344. Killer Influence,2.6, (303),1h 24m,Horror
345. Space Sharks,1.5, (321),1h 10m,Horror
346. Do You See What I See,5.3, (667),1h 49m,Horror
347. Jurnal Risa by Risa Saraswati,4.4, (296),1h 32m,Horror
348. In Our Blood,6.9, (47),1h 29m,Horror
349. Pasar Setan,6.8, (59),1h 36m,Horror
350. Strange Harvest,6.6, (67),1h 34m,Horror
351. Tragic Waste,7.9, (95),1h 17m,Horror
352. Life of Belle,5.0, (655),1h 13m,Horror
353. House of Ashes,6.9, (33),1h 35m,Horror
354. THEDÆMON,6.7, (42),1h 27m,Horror
355. Geethanjali Malli Vachindi,4.9, (2.2K),2h 24m,Horror
356. Gacy: Serial Killer Next Door,3.3, (481),1h 37m,Horror
357. Wineville,4.3, (225),1h 40m,Horror
358. Dosen Ghaib: It's Nighttime or You Already Know,4.1, (293),1h 34m,Horror
359. Perewangan,5.5, (158),1h 49m,Horror
360. Shark Girl,2.5, (172),1h 22m,Horror
361. Haunted Universities 3,5.4, (315),1h 59m,Horror
362. The Train of Death,4.7, (699),1h 43m,Horror
363. Trinil,4.5, (366),1h 45m,Horror
364. Clickbait: Unfollowed,4.9, (576),1h 30m,Horror
365. Scopophobia,5.7, (58),1h 40m,Horror
366. You Shall Not Sleep Tonight,4.1, (365),1h 17m,Horror
367. Noclip,3.9, (29),1h 1m,Horror
368. An Intruder Among Us,9.4, (19),,Horror
369. Espantaho,5.8, (42),1h 30m,Horror
370. Witch Hunter,5.3, (24),1h 20m,Horror
371. The Backrooms,7.9, (13),1h 3m,Horror
372. The Evil Three,6.6, (1K),30m,Horror
373. Cara,7.0, (45),1h 36m,Horror
374. Air Fryer Slaughter,6.4, (526),1h 30m,Horror
375. Heretics,6.0, (37),1h 23m,Horror
376. Shark Exorcist 2: Unholy Waters,3.4, (142),1h 14m,Horror
377. Do Not Open,2.6, (264),1h 31m,Horror
378. Dagr,4.4, (2.8K),1h 17m,Horror
